id,name,shares,comments,content,posted_on,image,post_url,image_content
pfbid02FK2mewdRbP7ykaCAXEaJpPns9tA6JJysZJXE9Sz6LQjqqA4rtwUbu2NBtzm4RvNtl,Arab times - عرب تايمز,183,176,لا شيء على الإطلاق مضمونٌ في هذه الدنيا.. لا وظيفة ولا مال ولا علاقات ولا محبة ولا صحة.كل الأشياء حرفيًا في يد الله ويمكن أن يتغير حالها في أقل من ثانية أو موقف صغير مهما اعتقدنا أننا نسيطر على الأمور.  السيطرة على حياتنا وهم كبير جدًا.. لا أحد يعلم ما الذي سيحدث بعد دقيقة من الآن!أدام الله علينا نعمه وحفظها من الزوال.,2023-11-13:08:16,h t t p s : / / s c o n t e n t . f t u n 1 6 - 1 . f n a . f b c d n . n e t / v / t 3 9 . 3 0 8 0 8 - 6 / 3 8 4 7 2 4 5 3 6 _ 3 3 1 5 8 9 2 9 9 5 3 9 0 0 8 _ 7 9 4 6 3 8 1 0 3 4 5 7 6 4 9 4 9 8 6 _ n . j p g ? s t p = d s t - j p g _ p 4 8 0 x 4 8 0 & _ n c _ c a t = 1 0 1 & c c b = 1 - 7 & _ n c _ s i d = 5 f 2 0 4 8 & _ n c _ o h c = f 3 v y p a B g J D M A X 9 G O u r l & _ n c _ h t = s c o n t e n t . f t u n 1 6 - 1 . f n a & o h = 0 0 _ A f C E f G P _ y l q d 3 o N a U b 1 x o v 0 l 0 7 H F 9 s x z G y M X b Z 3 S O V r 6 U w & o e = 6 5 5 7 9 2 E 6,https://www.facebook.com/arab.times.official/posts/pfbid02FK2mewdRbP7ykaCAXEaJpPns9tA6JJysZJXE9Sz6LQjqqA4rtwUbu2NBtzm4RvNtl?__cft__[0]=AZX6huIhL7PvSsgg3MmQ0aGUaAi0wG-vro7rF9qGtguON0G8S54yZB7DlR8v4cLM6ZFr6TlWJUrfWblhRuQPnM3CbVlSRSOAvh4IJhgTcn9iqzHE6th_clZtpkXk2-tgvYzy0FHBSF7suECY3Yd6NGZEUs0QDK-YVP2hO1wYWHZuISdVo1TQ9Ro_AwvUT0wVeE2RxDYVbHEharkrgwrM-icr&__tn__=%2CO%2CP-R,"r,i الل‎ | 1 وبراظا‎ 1 j"
pfbid036RmzgJFUGsfRTA1dnqzFjyAMh43kLnBJ789RQtcQtsSzu8t2FANeQXbKyW4YwLeJl,Arab times - عرب تايمز,12,10,فنادق الالف نجمة بالصحراء الجزائرية,2023-11-13:08:21,h t t p s : / / s c o n t e n t . f t u n 1 6 - 1 . f n a . f b c d n . n e t / v / t 3 9 . 3 0 8 0 8 - 6 / 3 8 2 6 9 8 3 5 5 _ 3 2 8 3 5 9 3 9 9 8 6 1 9 9 8 _ 6 1 5 4 2 8 0 6 3 5 5 5 0 5 5 5 6 0 9 _ n . j p g ? s t p = d s t - j p g _ p 5 2 6 x 3 9 5 & _ n c _ c a t = 1 1 0 & c c b = 1 - 7 & _ n c _ s i d = 5 f 2 0 4 8 & _ n c _ o h c = c f y f Y W r I b v o A X 8 3 A 2 1 Y & _ n c _ h t = s c o n t e n t . f t u n 1 6 - 1 . f n a & o h = 0 0 _ A f A Y v z u S 3 Z o 4 G d d P b E S 6 q i b f f t r F J A p i g f U 9 r V 1 V F X A R 5 Q & o e = 6 5 5 6 0 7 3 C,https://www.facebook.com/arab.times.official/posts/pfbid036RmzgJFUGsfRTA1dnqzFjyAMh43kLnBJ789RQtcQtsSzu8t2FANeQXbKyW4YwLeJl?__cft__[0]=AZVDq7yeeeCfAEflcIPlqWoAeTDcciSYHFLdE_VFEbhhqr2sGNF9F5B7jy7R3U2R0agoEtkwNJX4G4Ui77qTXicFcNkWjzcz6yJ2tOAvUV4utt8uIBsIT-rfkwtLAtoDvGNp_Mr7fvdymLtNW2O3TW2KPxO2FTgE--iMkNvQGJU-tW2O6XCHtsR1DB_hdWb95TeWrRexZmfIiJdj5-VEb0sU&__tn__=%2CO%2CP-R,"م e e‏ ايد W‏ ال ا .""0 ا 0 ا i 2‏ ب"" ل ص 0 ل ل َال R‏ == i‏ 3"
pfbid09eXaDJeQemwfWZCuMesC4qh9V1wkXfGNc1gouSUwczyHebEa7AausgE8X4muWfnhl,Arab times - عرب تايمز,9,73,كريستيانو رونالدو يؤدي رقصة العارضة السعودية بالزي السعودي الكامل احتفالاً باليوم الوطني السعودي ,2023-11-13:08:22,h t t p s : / / s c o n t e n t . f t u n 1 6 - 1 . f n a . f b c d n . n e t / v / t 3 9 . 3 0 8 0 8 - 6 / 3 8 1 6 9 9 1 8 7 _ 3 2 7 9 3 5 0 9 6 5 7 1 0 9 5 _ 4 6 1 1 6 3 5 2 3 6 9 0 2 5 5 9 5 6 5 _ n . j p g ? s t p = d s t - j p g _ p 4 0 3 x 4 0 3 & _ n c _ c a t = 1 0 2 & c c b = 1 - 7 & _ n c _ s i d = 5 f 2 0 4 8 & _ n c _ o h c = I 9 Z 2 w p 9 d R b A A X - S U G V z & _ n c _ h t = s c o n t e n t . f t u n 1 6 - 1 . f n a & o h = 0 0 _ A f C b 9 v L 5 o a V T H L Z R K g G 1 G 0 1 p H H e a h 7 e x m R t B r E v m Z q 3 u Y w & o e = 6 5 5 6 1 B 2 E,https://www.facebook.com/arab.times.official/posts/pfbid09eXaDJeQemwfWZCuMesC4qh9V1wkXfGNc1gouSUwczyHebEa7AausgE8X4muWfnhl?__cft__[0]=AZUDilU2d8S55lW_py5wOJ1u4USgYdctvix6BLcbZZp3V77_J4NF4NbiULejtREVH6ieYGboK6De9o1atF-f3Er7stXciLXrNJ1U2vrHbu5Jy5F3HY3tIxDwowJqk-lghFEyUguuSXPyLkPsQ04p_wX7zskKIoN94FFgRpknFJQciXCGi2j7o3InO4Jf0RUfhMfMl4blgjHx0K5f-LyHwfLo&__tn__=%2CO%2CP-R,) ~ ™ 5. 0 3 ' ا‎ 'ٍٍِ - s . | - R 4 8 3 ¢ ( | B 8 \ p مو ال‎
pfbid0aJrSEt3oMDZNtneZotrKYqeGynBUNCBv5Ep4Mg8ZpyZpp9orjtNQHTqDqihNUBWTl,Arab times - عرب تايمز,61,67,العائلات المغربية صباح اليوم زلزال  يسبب دمار العديد من مدن وسط المغرب قال رسول الله صلى الله عليه وسلمقال ﷺ :‏ { من أصبح منكم آمناً فيِ سرِبه، مُعافى في جسده، عنده قوتُ يومِه، فكأنما حِيزتْ له الدُّنيا }..‏اللهم بردا وسلام على اخوتنا في المغرب لطفك يا رب,2023-11-13:08:35,h t t p s : / / s c o n t e n t . f t u n 1 6 - 1 . f n a . f b c d n . n e t / v / t 3 9 . 3 0 8 0 8 - 6 / 3 7 6 2 7 0 5 8 2 _ 3 2 0 3 1 7 0 6 7 3 3 2 8 9 8 _ 7 9 9 5 2 8 9 8 7 4 6 2 4 8 9 5 7 1 9 _ n . j p g ? s t p = d s t - j p g _ p 5 2 6 x 3 9 5 & _ n c _ c a t = 1 0 9 & c c b = 1 - 7 & _ n c _ s i d = 5 f 2 0 4 8 & _ n c _ o h c = _ n f l r i x 3 4 c 0 A X _ t m y r V & _ n c _ h t = s c o n t e n t . f t u n 1 6 - 1 . f n a & o h = 0 0 _ A f A J 4 1 3 k l y _ v f Y J e - H V p C 1 Z 3 Z w o A o p I Z r x l 5 M i p r j c s 2 H w & o e = 6 5 5 5 D 0 6 9,https://www.facebook.com/arab.times.official/posts/pfbid0aJrSEt3oMDZNtneZotrKYqeGynBUNCBv5Ep4Mg8ZpyZpp9orjtNQHTqDqihNUBWTl?__cft__[0]=AZUMvKYzy86M-UCJLbTi3QMQjmuwltwz7U5m93u0LA98YUKCdFED5ieuZuAvUVsUMuaIC7IUUVb34A2nIbvHwDRJHCP3PRjPJR9ACB-7r-pROHlWaxXQKdRLtSCt6Z_ifo8jnkkia85HXFmHu8p_Oa0fLcVgPNoVHvZemqdzl_u8Jw37V-zFRNelyh4cZ1Wi5bJKmnvaY4mIbN3Z4fd2A9rx&__tn__=%2CO%2CP-R,"مس طرفل اد زور لدو NG A TSR‏ ا بن هرا ""_ 3 - دو : 4 I 6 s اج‎ - . it ' 4 |"
pfbid02UPPMrGWSC76Vxy2QGXt6eSkwpUvATu24gbcoQN42L67JLMjo5yjqqEg7NT4too5dl,Arab times - عرب تايمز,34,219,نبذة عن مسيرة الأسطورة رياض محرز في إنجلترا - أول لاعب عربي يفوز بلقب البريميرليج - أول لاعب عربي وإفريقي يفوز بجائزة الرابطة لأفضل لاعب في الدوري الإنجليزي - أول لاعب عربي وإفريقي يفوز 5 مرات بالبريميرليج- أول لاعب عربي وإفريقي يصنع أكثر من 60 هدف في البريميرليج- أول لاعب في التاريخ يسجل هاتريك في نصف نهائي كأس الإتحادقريب من أن يصبح هذا الموسم إن شاء الله أول لاعب عربي يحقق الثلاثية التاريخية ,2023-11-13:08:23,h t t p s : / / s c o n t e n t . f t u n 1 6 - 1 . f n a . f b c d n . n e t / v / t 3 9 . 3 0 8 0 8 - 6 / 3 4 8 5 8 0 8 1 4 _ 9 1 3 3 8 1 3 5 3 0 7 8 3 0 0 _ 3 2 5 4 3 7 4 9 7 5 9 5 8 9 3 8 8 7 9 _ n . j p g ? s t p = d s t - j p g _ s 6 4 0 x 6 4 0 & _ n c _ c a t = 1 0 9 & c c b = 1 - 7 & _ n c _ s i d = 5 f 2 0 4 8 & _ n c _ o h c = a G J k g S 5 t i 1 s A X _ t W z m I & _ n c _ h t = s c o n t e n t . f t u n 1 6 - 1 . f n a & o h = 0 0 _ A f D s _ V b t _ D m d H u D i X 6 P X O 6 W W V H n 4 Y u t H X g J L z D N 8 w q b N o w & o e = 6 5 5 6 D E 0 F,https://www.facebook.com/arab.times.official/posts/pfbid02UPPMrGWSC76Vxy2QGXt6eSkwpUvATu24gbcoQN42L67JLMjo5yjqqEg7NT4too5dl?__cft__[0]=AZWm1l-Jei2oaf5ynRtYTvLsuMVugxwCzjIsKmFvOJiiFBdLpESo4VuLLrWeCW4vU7R6Y6U5dZZiH8dQCt91XKnXsf3L7GlOE1lphLiyIguprntvIsGqSioKN8Np6GDaq5VK7CsHV1RgqqjiEg20yshRpxrCi6yUmg-qusN4hkfgejTJ44YK1qLKuYt_FN5a3k_ecUZN0qcp5dJ7Vj6I84T_&__tn__=%2CO%2CP-R,2 0 ا‎ اب‎ ا‎ 56 7 - F / 3 8 - = <& 2 Y F@P £ 3
pfbid0AnGn6YdqNWUBP7u5G38M2G6f4z4MpqKo6vhUj2NjfAsQLif9p7G7Rd6SenN8uewdl,Arab times - عرب تايمز,48,425, عاجل : لن يشارك المهاجم الدولي المصري مصطفى محمد ضد تولوز بعد قليل ، لأنه يرفض ارتداء قميص يحمل ألوان المثل..يين .,2023-11-13:08:30,h t t p s : / / s c o n t e n t . f t u n 1 6 - 1 . f n a . f b c d n . n e t / v / t 3 9 . 3 0 8 0 8 - 6 / 3 4 7 2 2 4 8 5 5 _ 1 3 7 6 5 3 2 1 0 9 9 6 3 6 8 3 _ 1 6 6 7 5 1 4 1 2 3 2 7 1 3 0 2 8 6 3 _ n . j p g ? s t p = c p 6 _ d s t - j p g _ p 5 2 6 x 2 9 6 & _ n c _ c a t = 1 1 1 & c c b = 1 - 7 & _ n c _ s i d = 5 f 2 0 4 8 & _ n c _ o h c = n l X v E A 7 Z r K 8 A X 8 8 b G u e & _ n c _ h t = s c o n t e n t . f t u n 1 6 - 1 . f n a & o h = 0 0 _ A f B F - P u t k z T k _ 6 5 f u a r - c l 0 M f v _ 4 z 0 M - - 1 E A a Z H y c 5 u V N g & o e = 6 5 5 6 2 8 E 0,https://www.facebook.com/arab.times.official/posts/pfbid0AnGn6YdqNWUBP7u5G38M2G6f4z4MpqKo6vhUj2NjfAsQLif9p7G7Rd6SenN8uewdl?__cft__[0]=AZVelXolEaaP_AZL3ciWVTtAJJyhMHSJDa_y3iPDp3Z35lyuSB7MUDhDQO5FbVPRGg5tifSdxYbI78V7bcRnfK3d97TbrbiWfSFt5owCx1ehtBWCZw0XEgMnNZSjsmw7k3CzmcQlG-4tMpVeUryg9vzHmAUc7Wdcck4Rfyzy806K0-GFD_Liozr8z-tIrBRtef1zDuT6O1cwdGyTw5KcfFgJ&__tn__=%2CO%2CP-R,"ا ® £ 1 '.. . دي 2 ] [ }[ ] ١‏ سو ذو 4 2 لم :]51106 للحي 2 \NTERIM - 0 |‏ * د o‏ ® : . ; _"" ]( . '.: اليد أن '"
pfbid02g34yGB441pqheuk1H2nSfdJFBZbPDkUqNu3RZ17wLget9ouELqT8DQxmo7EWAq6Nl,Arab times - عرب تايمز,34,431," بسبب السفر للسعودية.. اعتذار ميسي لباريس سان جيرمان وزملائه اعتذر ليونيل ميسي نجم باريس سان جيرمان عن قيامه برحلة إلى المملكة العربية السعودية، من دون الحصول على تصريح من ناديه، مما أدى إلى إيقافه من قبل إدارة النادي. ميسي تمت معاقبته من قبل باريس سان جيرمان عقب السفر إلى السعودية، في زيارة برعاية من وزير السياحة السعودي، وتم حرمان #ميسي من التدرب مع الفريق لمدة أسبوعين وعدم المشاركة خلال مباراتي ضد تروا وأجاكسيو وخُصم من مرتب النجم الأرجنتيني إسبوعين. ""اعتقدت أننا سنحصل على يوم عطلة بعد المباراة كما هو الحال دائمًا، لقد نظمت هذه الرحلة ولم أتمكن من إلغائها"" هكذا صرح ليونيل ميسي. وأكمل: ""كنت قد ألغيته بالفعل من قبل، أعتذر لزملائي وأنا في انتظار ما يريد النادي أن يفعله معي"". يُذكر أن جماهير باريس سان جيرمان هاجموا ميسي في هجوم كبير وتظاهرات أمام النادي وطالبوا بطرد النجم الأرجنتيني من النادي.",2023-11-13:08:39,h t t p s : / / s c o n t e n t . f t u n 1 6 - 1 . f n a . f b c d n . n e t / v / t 3 9 . 3 0 8 0 8 - 6 / 3 4 5 0 5 4 2 3 1 _ 1 9 2 7 9 3 7 5 0 3 5 9 7 4 1 _ 6 0 3 5 7 7 6 5 4 1 0 6 9 2 9 6 5 4 _ n . j p g ? s t p = d s t - j p g _ p 5 5 2 x 4 1 4 & _ n c _ c a t = 1 0 0 & c c b = 1 - 7 & _ n c _ s i d = 5 f 2 0 4 8 & _ n c _ o h c = I t 6 i E r s H G 7 E A X 9 C N x 1 A & _ n c _ h t = s c o n t e n t . f t u n 1 6 - 1 . f n a & o h = 0 0 _ A f D w X M P k j Y W w q A y N 0 O Q Y B D f y M y _ S p n T 3 n K M W Y U 2 P D y D D Z w & o e = 6 5 5 6 5 E 9 B,https://www.facebook.com/arab.times.official/posts/pfbid02g34yGB441pqheuk1H2nSfdJFBZbPDkUqNu3RZ17wLget9ouELqT8DQxmo7EWAq6Nl?__cft__[0]=AZUgYHn4X-9m-AgaDhHf6nZ4tsBd8blLfOY3VQsQvaQ5wKtr4kJhqZTAOJzfADUfEeKeo_2gsMG1TzPmUsqX-7aVTEvez9QCqKNyWY0Bej-PWHU5ctpnvuSpGrjBr8Rwh195vMHpkJktbDwpRUFdQ9-rxlMZN3XDumjItuxtBWbuHeQfoABGTSlAYVDG9JotUH2sB-bEOuvVm827E5p4gN9-&__tn__=%2CO%2CP-R,)
pfbid02oRwKY3u1j17zzdmxqoYLkirVnCcv5yn1fdCLq8vJvGF5kutYDeDEanDBFi2WCSw6l,Arab times - عرب تايمز,11,194,صحيفة Dailymail : تشو غو سونغ لاعب كوريا اضطر لإغلاق هاتفه بسبب كثرة عروض الزواج آلتي وصلته .. في بداية المونديال كان يملك 20 ألف متابع عبر الإنستجرام والأن 1.8 مليون متابع.,2023-10-22:03:02,h t t p s : / / s c o n t e n t . f t u n 1 6 - 1 . f n a . f b c d n . n e t / v / t 3 9 . 3 0 8 0 8 - 6 / 3 1 7 8 2 4 7 9 7 _ 1 8 6 6 7 9 8 5 3 9 5 6 0 8 4 _ 4 8 6 2 0 9 0 3 6 2 1 0 7 9 8 2 0 0 9 _ n . j p g ? s t p = d s t - j p g _ p 1 8 0 x 5 4 0 & _ n c _ c a t = 1 0 2 & c c b = 1 - 7 & _ n c _ s i d = 5 f 2 0 4 8 & _ n c _ o h c = d J F d 6 U m A G S s A X _ p 1 Q H H & _ n c _ h t = s c o n t e n t . f t u n 1 6 - 1 . f n a & o h = 0 0 _ A f D 3 O J 5 k a - c N 0 S L Y g P Z W o c x j 3 k K C v X M Y z 1 _ t T h w d - W B 5 N g & o e = 6 5 5 5 F 7 A 7,https://www.facebook.com/arab.times.official/posts/pfbid02oRwKY3u1j17zzdmxqoYLkirVnCcv5yn1fdCLq8vJvGF5kutYDeDEanDBFi2WCSw6l?__cft__[0]=AZUvrVtmmypviVkWdU6vcDjKklzUC-N7hzCTWK5cFdVowjgiigFPoobDM0NNK4kQJ_R5dEaPrXGqDokyWT63PLZpgH8CmU5yuytavTrPC1WGUGmzmnvV895uTryhNdOs2kqK1stOR56UkulYJM9TPpcm6zCAKq4WxNAh0M8oT09M4vvnPjq_duxh0_fjIzIlCOSFVUxtSak09ETEVYarw8am&__tn__=%2CO%2CP-R,"' ام ؤ‎ 0 = | . W e | 9 V(‘ 6"" . . ‘"
pfbid0kP8JovExHcofiEenpRnQUnK7Fou4RsQLZerEUFhnL336vk7uUnm8uSQBiEmDTej8l,Arab times - عرب تايمز,537,534,أسطورة المانيا (مايكل بالاك):كيف نريد الفوز بكأس العالم للرجال ونحن منذ أن بدأت البطوله ندعم قضيه لا تمت للرجولة بِصله,2023-10-29:01:42,h t t p s : / / s c o n t e n t . f t u n 1 6 - 1 . f n a . f b c d n . n e t / v / t 3 9 . 3 0 8 0 8 - 6 / 3 1 8 1 1 9 7 4 5 _ 1 8 6 4 2 4 6 1 7 3 1 4 9 4 1 _ 7 7 2 5 1 3 5 0 7 3 3 9 4 4 3 0 3 4 0 _ n . j p g ? s t p = d s t - j p g _ s 6 4 0 x 6 4 0 & _ n c _ c a t = 1 0 5 & c c b = 1 - 7 & _ n c _ s i d = 5 f 2 0 4 8 & _ n c _ o h c = N n 1 8 H l Z b y C g A X - N M s p k & _ n c _ h t = s c o n t e n t . f t u n 1 6 - 1 . f n a & o h = 0 0 _ A f B N m V 1 3 w 8 D d f d S o X I W d 6 Y 6 7 r r S z x i u C w T b p 9 8 u C E z f d u A & o e = 6 5 5 5 E 8 0 0,https://www.facebook.com/arab.times.official/posts/pfbid0kP8JovExHcofiEenpRnQUnK7Fou4RsQLZerEUFhnL336vk7uUnm8uSQBiEmDTej8l?__cft__[0]=AZWHgUZTUVMyyiov-cmM0XPO2WKBocWTb-_g3jsni7U8jkzdOI8GZof9PDcbsjL4D8RP7SZ_A9SpWvPZJ3ksCbkotQCDiLVmXTbUe9KWg0AWtb2kHn_F2D7xVwnqRKqboCxbrZZt8n89a3NEu6nG2wquHbaR95CC5hZj0nPW6sVS4yc3ntK3t6pIb9Owyb-codTeYv6qcXXiZzkUDs5gQ-iv&__tn__=%2CO%2CP-R,"o مواقا‎ [ - نا‎ 85 a3 "" / 2 بل‎ 1 ض‎ B | ‘e | | 7 1"
pfbid0VkuVC39aZMJfPTxATAdpnxUhkFYergTtvZfcmMtmobgZhuSJAQEfCmGtfyrSoVUl,Arab times - عرب تايمز,14,767,من هو الفريق الذي ترشحونه لنيل كأس عالم هذه الطبعة  ؟؟,2023-04-24:13:42,h t t p s : / / s c o n t e n t . f t u n 1 6 - 1 . f n a . f b c d n . n e t / v / t 3 9 . 3 0 8 0 8 - 6 / 3 1 7 5 0 5 5 3 2 _ 1 8 5 8 1 2 1 9 0 7 0 9 5 1 7 _ 1 7 9 9 9 6 6 0 9 1 5 6 1 5 9 9 8 8 1 _ n . j p g ? s t p = d s t - j p g _ s 6 4 0 x 6 4 0 & _ n c _ c a t = 1 0 8 & c c b = 1 - 7 & _ n c _ s i d = 5 f 2 0 4 8 & _ n c _ o h c = q - X m V q g a G X U A X 9 M z K p M & _ n c _ h t = s c o n t e n t . f t u n 1 6 - 1 . f n a & o h = 0 0 _ A f D 3 Z 7 B E R V d O M _ w W P Q C 4 Z a M 3 9 t 6 h 2 L V X G p r L H r x y g p J 0 N A & o e = 6 5 5 6 5 9 3 2,https://www.facebook.com/arab.times.official/posts/pfbid0VkuVC39aZMJfPTxATAdpnxUhkFYergTtvZfcmMtmobgZhuSJAQEfCmGtfyrSoVUl?__cft__[0]=AZWyi09krtm14brMa9tw9e7Vyal4E4XHW6k6NklmE1xviX2oYCzQSiEQI5sSzRi6podih5H8tuRHoHFeJNSVKh6PdZOK9HAVXVpRaWUVyxBYSeqY_WMGclt8IDltRpLWENDf1-ir7UyMmnaxUsupc-MRMK1k3iHtTZf0UVdyoJOetEH055uk02B3xY3GFYakDnxyxUOGSgHjNLyrhQsge2W3&__tn__=%2CO%2CP-R,use 1958‏ 877 1938 --. 6 ب 6 114 1870 1966 1962 4 \ 10 خلا . 19 2008 “«'س و 1994 . 0 « w‏ w2 5‏ 201 21 010
